session_id,user_id,crs1,crs2,vote,feedback
2024-09-13 02:57:16.001226,666fdd8e-fca8-40f5-989a-6ffd8b92056d,unicrs_redial,unicrs_opendialkg,tie,
2024-09-13 03:02:30.746557,635f6ec4-dad3-4c4c-914b-3ec9ee18c636,barcor_redial,barcor_opendialkg,barcor_redial,"There were a few mistakes, but they followed what I was asking for the most part. CRS2 did not. "
2024-09-13 03:05:52.842591,6941de78-6019-4941-bb80-b235a08f599c,barcor_redial,barcor_opendialkg,barcor_redial,
2024-09-16 02:27:59.667796,f9f3e816-8a08-4bf1-9d7e-fd3ef4cf18e8,chatgpt_opendialkg,crbcrs_redial,chatgpt_opendialkg,I thought CRS 1 had an easier time understanding me. I also liked that it gave a longer list and was able to narrow it down. CRS2 kept getting confused so I felt it wasn't very helpful in my task in getting a movie recommendation.
2024-09-16 02:30:52.137582,aa4e6c42-af03-401a-bf78-133777cf7841,chatgpt_opendialkg,kbrd_redial,chatgpt_opendialkg,"CRS 1 had errors or was cyclical, but it at least understood my original prompt and gave me answers relevant to it. Nothing CRS 2 provided was related to my original prompt and some responses were non-sensical. "
2024-09-16 02:33:38.521278,4fa22efa-db55-4f50-a247-a0aa13f7b1ba,chatgpt_opendialkg,kbrd_redial,tie,"Neither of these were actually very helpful, I was trying to get more details but it just kept repeating stuff, or not understanding the context. So It didn't seem particularly useful."
2024-09-16 08:59:25.595931,04ed4d35-af19-44ac-91b1-fcc3fb857a5f,kbrd_redial,crbcrs_redial,tie,"Both chatbots did not understand my prompts. They made bad recommendations, e.g. 'choose anything between'.  CRS1 explicitly  ignored one of my questions. Neither gave a reason for their recommendations."
2024-09-16 09:01:28.433239,6efb3c29-2556-4a71-8500-8f78c5c259a3,chatgpt_redial,kbrd_opendialkg,chatgpt_redial,crs 1 remembered the conversation and was mostly able to follow what i asked. did not understand about death in a movie. crs 2 hardly made any sense and could not understand what I was typing. thank you for an interesting study.
2024-09-16 09:05:45.977149,80068270-5a9d-4c07-ae2e-1938816336b4,unicrs_redial,chatgpt_redial,chatgpt_redial,"CRS 1 did not address my request at all correctly.  When I asked for British comedy recommendations, it said it wasn't a big fan of that and it prefers history.  I tried to coach it to give proper responses but the recommendations it did give didn't meet the criteria at all (e.g. Mrs. Doubtfire, which is a U.S. movie not British).  CRS2 gave much better responses.  It made  few mistakes, like giving me a Monty Python suggestion and ""A Fish Called Wanda"" when I had clearly said I'd already seen those and wanted other movies, but after I indicated that, it removed them from the list and gave me a list which for the most part was appropriate.  It also gave me a list of such movies from the 1970s specifically when I asked for that (British comedies), with just a few errors. However, then I persisted in correcting further, it lost track of what it was doing and gave me a few short lists that had nothing to do with what I requested.  But overall, it was certainly far better than CRS1, which was pretty much useless in addressing my request."
2024-09-16 09:12:32.853371,337ec03b-5961-4de8-9209-b2e36f3dd174,barcor_opendialkg,unicrs_opendialkg,tie,I'm not impressed with either of these. The first one made too many mistakes. The second one didn't even communicate properly. 
2024-09-16 09:15:47.497006,f913f35a-93c5-497d-afc5-1a7fcc5ea845,barcor_redial,chatgpt_opendialkg,chatgpt_opendialkg,"The first one seemed very lacking in ai iq. The second might not be perfect either, but it seemed to follow instructions decently well."
2024-09-16 09:17:16.328893,936abb41-428a-4327-a7e1-9d6c5ceae7ec,chatgpt_opendialkg,barcor_redial,chatgpt_opendialkg,"Number one gave more options, the chat bot for number two felt like it was only pushing that one movie and did not give as many options"
2024-09-16 09:20:05.563488,b4ab3e8d-5404-4bfd-b227-c3aed54dd4d3,chatgpt_opendialkg,barcor_redial,chatgpt_opendialkg,Both were a bit annoying but CRS2 didn't give me a sensible answer so I prefer CRS1 because at least I came out of it with a recommendation 
2024-09-16 09:23:15.142274,f7bdfc54-445d-43f1-98fa-854ae0aaae83,barcor_opendialkg,crbcrs_redial,barcor_opendialkg,Both were poor but CRS2 was the worst. I wouldn't use or recommend these at all because some answers were nonsensical and repetitive.
2024-09-16 09:27:45.490553,c2ecc39b-b40c-4ebf-a291-368fb066468e,kbrd_redial,unicrs_redial,kbrd_redial,"Chat is mostly irresponsive to input. Based on the incompetence, not sure if their recommendations can be trusted."
2024-09-16 09:30:43.626967,580e55b2-d4bf-4f9b-8413-0a4e343ef741,kbrd_opendialkg,unicrs_redial,tie,They were both equally poor at answering the questions I asked with anything that made sense
2024-09-16 09:34:09.996540,a75606ed-700b-40a5-9b17-a5d51e691c36,chatgpt_redial,crbcrs_redial,chatgpt_redial,CRS1 answered my questions better with more accurate replies and results. I felt more listened to and also attended to with this as a result.
2024-09-16 09:37:49.104202,f3129d35-3a1a-49fa-bf01-b85b91337f15,unicrs_opendialkg,crbcrs_redial,tie,"Both weren't very helpful and didn't understand my questions, it was frustrating. I did get some answers about movies but they seemed pretty random and disjointed."
2024-09-16 09:40:33.178317,9c0cd453-157f-4fe1-a7e2-177ec2ce5792,kbrd_redial,kbrd_opendialkg,tie,"Both chat bots were incredibly poor, CRS1 did not recommend any similar movies to the criteria I posted and CRS2 despite initially giving a potentially good suggestion then went on to make nonsensical rambles and a plethora of spelling mistakes."
2024-09-16 09:46:03.684262,5b6e2618-9bc2-48c1-9172-aa2043b71b60,kbrd_opendialkg,barcor_opendialkg,barcor_opendialkg,Well CRS 1 chatbot was very useless and didn't really know what it was doing. While CRS 2 did do a much better job.
2024-09-16 09:52:27.499407,b016ffa6-d3b3-47d9-9fad-ee8b3a7682e1,kbrd_redial,crbcrs_redial,tie,"Both seem unable to communicate well. CRS 2 at least greeted me when I said hello. CRS 1 gave a list of movies at the beginning, but couldn't answer my questions afterwards. Neither seemed to be able to talk properly, repeating some phrases in CRS 2."
2024-09-16 09:54:51.053364,ef42bb06-47e3-47f1-9fbb-8131b15f7ab0,barcor_opendialkg,kbrd_redial,tie,"Both sides seem to willfully misunderstand the query. Communicating with them was frustrating and I wished I hadn't bothered, it would have been simpler to do a Google search. "
2024-09-16 10:05:58.252168,0f6a6f54-84a4-4b37-98bf-2bc560f39de7,unicrs_opendialkg,chatgpt_redial,chatgpt_redial,"They are both poor, but CRS2 at least gave me a relevant answer"
2024-09-16 10:15:49.141954,1371d38a-649b-4c5a-9c1f-c2ce5a117555,kbrd_redial,crbcrs_redial,tie,"The first one gave completely irrelevant answers. It used the same words frequently. It did not answer my questions. The second one seemed more accurate. But it also gave error frequently. Even though I tried several times, it gave error every time."
2024-09-16 10:35:59.896742,016264e2-c112-459a-ab52-072e02f8747b,unicrs_redial,chatgpt_opendialkg,chatgpt_opendialkg,CRS 2 was still frustrating to use but it did at least provide me with a list. CRS 1 was pretty useless and gave me no proper answer.
2024-09-16 10:36:09.425166,779d469f-548d-4b16-a7dc-f69c26eb2d1e,barcor_redial,unicrs_redial,barcor_redial,I felt CRS1 offered more logical responses when asking for recommendations.   CRS2 provided blank responses a couple of times.
2024-09-16 10:43:45.296671,3795bb9f-6f60-4c48-8ee4-f18658e93225,kbrd_opendialkg,chatgpt_redial,chatgpt_redial,The CRS didn't respond to the questions when asked for more depth. They could not justify their choices. CRS 1 digressed and the answers did not make sense at points. 
2024-09-16 10:48:29.702693,2955c260-0ba9-414c-8980-bf8bf054900e,unicrs_opendialkg,chatgpt_redial,tie,"Both were poor, unfortunately. CRS1 couldn't even name a movie. CRS2 couldn't give me any details."
